Date,UUP,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,XRT,SHY
2024-04-01,26.350296020507812,44.780391693115234,44.900691986083984,40.82918930053711,121.86274719238281,103.24185943603516,72.24832153320312,30.99667739868164,142.19989013671875,89.92664337158203,76.75438690185547,75.7597427368164
2024-04-02,26.31328773498535,44.6161003112793,45.52857971191406,40.61476135253906,121.29725646972656,102.24822235107422,71.8763427734375,31.04892921447754,139.98634338378906,88.6012954711914,74.59244537353516,75.79701232910156
2024-04-03,26.19300651550293,44.88187026977539,45.84016036987305,40.59527587890625,121.92124938964844,102.5201187133789,71.08470916748047,30.9254207611084,139.83102416992188,88.66535949707031,73.82939147949219,75.85287475585938
2024-04-04,26.19300651550293,44.427642822265625,45.811832427978516,40.13717269897461,120.84876251220703,100.89869689941406,70.77950286865234,30.863662719726562,137.81166076660156,87.62576293945312,72.82177734375,75.92738342285156
2024-04-05,26.220766067504883,44.82871627807617,46.30281066894531,40.517295837402344,122.52574157714844,102.05545043945312,70.89395141601562,30.95392417907715,139.0446319580078,88.113525390625,73.04678344726562,75.80632781982422
2024-04-08,26.183753967285156,44.8625373840332,46.01011276245117,40.6927375793457,122.31123352050781,101.93680572509766,70.7890396118164,31.158187866210938,138.5980224609375,88.95110321044922,73.19352722167969,75.7318115234375
2024-04-09,26.174503326416016,44.96885299682617,46.02427291870117,40.45881652832031,122.02849578857422,102.45092010498047,71.13240814208984,31.329204559326172,139.09317016601562,89.36990356445312,73.24243927001953,75.80632781982422
2024-04-10,26.452070236206055,44.26818084716797,46.16590118408203,39.85451889038086,120.9852523803711,101.1953125,70.8748779296875,30.79240608215332,137.46212768554688,87.99036407470703,71.76527404785156,75.49896240234375
2024-04-11,26.4705753326416,44.234352111816406,46.13285827636719,39.57186508178711,121.12175750732422,103.2171401977539,70.70319366455078,30.73065185546875,136.89903259277344,88.69983673095703,71.9706802368164,75.59210205078125
2024-04-12,26.68337631225586,43.4515266418457,45.38222885131836,39.045536041259766,119.82503509521484,101.54627990722656,69.98786163330078,30.497879028320312,134.8602752685547,87.26117706298828,70.31742858886719,75.63865661621094
2024-04-15,26.72963523864746,43.24374008178711,44.95735549926758,38.85060501098633,118.96705627441406,99.61837768554688,69.70175170898438,30.217601776123047,134.5884552001953,85.80772399902344,69.3880844116211,75.6107177734375
2024-04-16,26.766645431518555,42.91032028198242,44.56550598144531,38.587440490722656,118.69405364990234,99.73702239990234,69.73036193847656,29.81856346130371,134.636962890625,85.3199462890625,69.42721557617188,75.56417083740234
2024-04-17,26.68337631225586,43.006961822509766,44.43804168701172,38.684906005859375,118.079833984375,98.29850006103516,69.98786163330078,30.440874099731445,134.4039764404297,84.90609741210938,69.12395477294922,75.62004852294922
2024-04-18,26.738889694213867,43.02145767211914,44.30113220214844,38.82136154174805,117.67032623291016,97.17635345458984,70.3121566772461,30.611892700195312,134.39427185058594,84.37889862060547,69.15331268310547,75.58277893066406
2024-04-19,26.738889694213867,42.98762893676758,44.8346061706543,39.35743713378906,117.4558334350586,95.17430877685547,70.99887084960938,31.08218002319336,134.8990936279297,83.6398696899414,69.62286376953125,75.6014175415039
2024-04-22,26.74814224243164,43.031124114990234,45.12730407714844,39.83502197265625,118.34306335449219,96.02456665039062,71.67604064941406,31.36721420288086,135.4136505126953,84.00939178466797,69.91635131835938,75.63865661621094
2024-04-23,26.637115478515625,42.65903854370117,45.37751388549805,40.08843994140625,119.99077606201172,97.4482421875,71.8763427734375,31.51447105407715,137.1806182861328,85.00955963134766,71.45220184326172,75.70389556884766
2024-04-24,26.664871215820312,42.68803405761719,45.41055679321289,40.078697204589844,119.03530883789062,97.89315032958984,72.41999816894531,31.704492568969727,136.75343322753906,85.822509765625,70.94351959228516,75.6759033203125
2024-04-25,26.609357833862305,42.992469787597656,45.61827087402344,39.84476852416992,119.39604187011719,97.68058776855469,72.24832153320312,31.790002822875977,135.8408203125,85.89641571044922,70.6402587890625,75.62004852294922
